id,date_ms,sym,side,size,akk
116,1787612808302,AGIUSDT,Sell,39.96384,2
117,1787612808491,AGIUSDT,Buy,39.96384,3
118,1787612809345,CASHCATUSDT,Sell,38.9034,1
119,1787612809529,CASHCATUSDT,Buy,38.9034,2
120,1787612809715,CASHCATUSDT,Sell,38.9034,3
121,1787613408114,AGIUSDT,Sell,39.99359,2
122,1787613409066,BXUSDT,Buy,38.7612,0
123,1787613409498,BXUSDT,Sell,38.7612,1
124,1787613409694,BXUSDT,Buy,38.7612,2
125,1787613409886,BXUSDT,Sell,38.7612,3
126,1787613410743,CASHCATUSDT,Buy,39.7936,2
127,1787613410927,CASHCATUSDT,Sell,39.7936,3
128,1787614009876,CASHCATUSDT,Sell,39.748,1
129,1787614010060,CASHCATUSDT,Buy,39.748,2
130,1787614010247,CASHCATUSDT,Sell,39.748,3
131,1787614608819,AGIUSDT,Sell,39.9586,0
132,1787614609005,AGIUSDT,Buy,39.9586,1
133,1787614609193,AGIUSDT,Sell,39.9586,2
134,1787614609379,AGIUSDT,Buy,39.9586,3
135,1787614610897,CASHCATUSDT,Buy,39.5713,2
136,1787615207141,AGIUSDT,Sell,39.96802,0
137,1787615207325,AGIUSDT,Buy,39.96802,1
138,1787615207510,AGIUSDT,Sell,39.96802,2
139,1787615209022,CASHCATUSDT,Buy,39.026,2
140,1787615810062,AGIUSDT,Sell,39.98895,2
141,1787615810909,APPSTOCKUSDT,Buy,39.0884,0
142,1787615811100,APPSTOCKUSDT,Sell,39.0884,1
143,1787615811288,APPSTOCKUSDT,Buy,39.0884,2
144,1787615811479,APPSTOCKUSDT,Sell,39.0884,3
145,1787615812324,BNCUSDT,Sell,39.7965,0
146,1787615812512,BNCUSDT,Buy,39.7965,1
147,1787615812695,BNCUSDT,Sell,39.7965,2
148,1787615812879,BNCUSDT,Buy,39.7965,3
149,1787615814383,CASHCATUSDT,Buy,38.2432,0
150,1787615814572,CASHCATUSDT,Sell,38.2432,1
151,1787615814755,CASHCATUSDT,Buy,38.2432,2
