id,date_ms,sym,fund,next
113,1787597138176,AGIUSDT,-0.1435,1787616000000
114,1787597149182,B3USDT,-0.1001,1787601600000
115,1787597152666,BICOUSDT,-0.251,1787616000000
116,1787597155302,BNCUSDT,0.2571,1787616000000
117,1787597172706,EPICUSDT,-0.1416,1787601600000
118,1787597184769,HOMEUSDT,-0.2153,1787601600000
119,1787597196943,LSKUSDT,0.1613,1787601600000
120,1787597203511,MOVEUSDT,-0.1211,1787601600000
121,1787597732483,1000BTTUSDT,-0.27,1787616000000
122,1787597735753,ACEUSDT,-0.245,1787601600000
123,1787597737936,AGIUSDT,-0.1286,1787616000000
124,1787597750382,B3USDT,-0.1067,1787601600000
125,1787597754311,BICOUSDT,-0.2332,1787616000000
126,1787597757007,BNCUSDT,0.2697,1787616000000
127,1787597775352,EPICUSDT,-0.1371,1787601600000
128,1787597787963,HOMEUSDT,-0.2195,1787601600000
129,1787597800540,LSKUSDT,0.1441,1787601600000
130,1787597807417,MOVEUSDT,-0.1347,1787601600000
131,1787598331912,1000BTTUSDT,-0.2722,1787616000000
132,1787598335174,ACEUSDT,-0.2531,1787601600000
133,1787598337393,AGIUSDT,-0.1098,1787616000000
134,1787598349612,B3USDT,-0.1169,1787601600000
135,1787598353205,BICOUSDT,-0.2213,1787616000000
136,1787598355899,BNCUSDT,0.2611,1787616000000
137,1787598374175,EPICUSDT,-0.1325,1787601600000
138,1787598386728,HOMEUSDT,-0.2222,1787601600000
139,1787598399363,LSKUSDT,0.1302,1787601600000
140,1787598406202,MOVEUSDT,-0.1348,1787601600000
141,1787598932411,1000BTTUSDT,-0.2892,1787616000000
142,1787598935776,ACEUSDT,-0.257,1787601600000
143,1787598950129,B3USDT,-0.1144,1787601600000
144,1787598953765,BICOUSDT,-0.2139,1787616000000
145,1787598956485,BNCUSDT,0.2281,1787616000000
146,1787598975129,EPICUSDT,-0.1345,1787601600000
147,1787598987696,HOMEUSDT,-0.2346,1787601600000
148,1787599000292,LSKUSDT,0.1227,1787601600000
149,1787599007133,MOVEUSDT,-0.1148,1787601600000
150,1787599531923,1000BTTUSDT,-0.2923,1787616000000
151,1787599535877,ACEUSDT,-0.2605,1787601600000
152,1787599548199,B3USDT,-0.1371,1787601600000
153,1787599551521,BICOUSDT,-0.2057,1787616000000
154,1787599554021,BNCUSDT,0.2012,1787616000000
155,1787599565453,CXMTUSDT,-0.1208,1787616000000
156,1787599570942,EPICUSDT,-0.1416,1787601600000
157,1787599582592,HOMEUSDT,-0.2398,1787601600000
158,1787599594639,LSKUSDT,0.1103,1787601600000
159,1787599601000,MOVEUSDT,-0.1085,1787601600000
160,1787600132663,1000BTTUSDT,-0.2886,1787616000000
161,1787600136621,ACEUSDT,-0.2527,1787601600000
162,1787600149129,B3USDT,-0.1432,1787601600000
